id,fa,translit,en,aka,category,definition,notes
mesghal,مثقال,Mesghāl,Mesghal,"mithqal",Unit,"The traditional Iranian weight unit for wholesale gold trading.","Exactly 4.6083 g. The unit the Market Quote (mazanneh) is expressed in. Not the same as the Arabian mithqal (4.25 g) - do not convert with a foreign constant."
gram,گرم,Gerem,Gram,"g",Unit,"The retail unit of weight; all consumer sales and jewelry invoices are per gram.","Wholesale quotes in Mesghal are converted to gram for retail: gram = mesghal / 4.6083."
sut,سوت,Sut,Sut,"milligram",Unit,"Shop-floor subunit of the gram used when weighing small jewelry pieces.","1 sut = 0.001 g, i.e. the third decimal place on a jeweler's scale. Money amounts must never be rounded before weight is resolved to sut precision."
karat,عیار,Ayār,Fineness,"karat; carat; purity",Material,"The gold content of an alloy, stated either in karat (out of 24) or as fineness per 1000.","Store fineness per 1000 as the canonical value (integer, e.g. 750) and derive karat for display. Karat and the gemstone 'carat' (weight) are different concepts - never share a type."
gold_24k,طلای ۲۴ عیار,Talā-ye Bist-o-Chahār Ayār,24-Karat Gold,"pure gold; 999 gold",Material,"Effectively pure gold, the reference purity all other alloys are stated against.","999.9 fineness. Used as the valuation basis; rarely sold as jewelry because it is too soft."
gold_18k,طلای ۱۸ عیار,Talā-ye Hejdah Ayār,18-Karat Gold,"750 gold; eighteen-carat gold",Material,"Gold alloy of 750/1000 fineness, the standard retail purity for gold sold to consumers in Iran.","18/24 = 0.750 fine. The per-gram retail unit of account; retail invoices are metal value at the 18k gram rate + making charge + profit + VAT."
melted_gold,طلای آبشده,Talā-ye Ābshodeh,Melted Gold,"Abshodeh; cast gold; recast bullion",Product,"Recast (re-melted) gold traded as unmarked bullion in the wholesale market, sold by weight rather than by piece.","Trade unit is the Mesghal. Market-standard fineness is ~705 (17 karat); an assay certificate accompanies each lot. This is the instrument the Market Quote is quoted against."
gold_bar,شمش طلا,Shemsh-e Talā,Gold Bar,"ingot; bullion bar",Product,"A mint-marked, serial-numbered gold bar sold by weight with an assay certificate.","Distinct from melted_gold: a bar is branded and certified, so it carries its own premium. Sold in fixed weights."
gold_coin,سکه,Sekkeh,Gold Coin,"bullion coin",Product,"Any minted gold coin traded as a unit of bullion, priced per piece rather than per gram.","Umbrella term. Never use alone in code where a specific coin type is meant; use the specific id."
emami_coin,سکه امامی,Sekkeh-ye Emāmi,Emami Coin,"new-design Bahar Azadi; Bahar Azadi (new)",Product,"The post-1979 full Bahar Azadi gold coin bearing the Imam Khomeini design; the market's benchmark coin.","Gross weight 8.133 g, fineness 900 (21.6 karat) => 7.3224 g fine gold. Quoted separately from the old design and normally at a higher premium."
old_design_coin,سکه طرح قدیم,Sekkeh-ye Tarh-e Qadim,Old-Design Coin,"old Bahar Azadi; pre-1979 design",Product,"The earlier Bahar Azadi full coin design, quoted separately from the Emami coin.","Same metal spec as emami_coin (8.133 g, fineness 900) but a different quoted price - the gap is collector/design premium, not metal."
full_bahar_azadi_coin,سکه تمام بهار آزادی,Sekkeh-ye Tamām-e Bahār-e Āzādi,Full Bahar Azadi Coin,"one-unit Bahar Azadi; full coin",Product,"The full (one-unit) denomination of the Bahar Azadi coin series, as opposed to the half and quarter denominations.","8.133 g, fineness 900. 'Full' names the DENOMINATION; 'Emami' vs 'old design' names the MINT DESIGN. See the open question in ubiquitous-language.md."
half_bahar_azadi_coin,نیم سکه,Nim Sekkeh,Half Bahar Azadi Coin,"half coin",Product,"The half-unit denomination of the Bahar Azadi series.","4.0665 g, fineness 900. Carries a higher premium per gram than the full coin."
quarter_bahar_azadi_coin,ربع سکه,Rob' Sekkeh,Quarter Bahar Azadi Coin,"quarter coin",Product,"The quarter-unit denomination of the Bahar Azadi series.","2.0332 g, fineness 900. Premium per gram is higher again than the half coin."
gram_coin,سکه گرمی,Sekkeh-ye Gerami,Gram Coin,"one-gram coin",Product,"The smallest minted denomination, roughly one gram.","~1.016 g, fineness 900. Highest premium per gram of the coin family; behaves more like a gift item than bullion."
jewelry,جواهرات,Javāherāt,Jewelry,"jewellery; fine jewelry",Product,"Crafted, wearable gold pieces, typically gemstone-set, priced from metal value plus making charge plus stone valuation.","Distinct from bullion: price is not a pure function of weight. Reserve this term for gemstone/crafted goods."
second_hand_gold,طلای دست دوم,Talā-ye Dast-e Dovvom,Second-Hand Gold,"used gold; buy-back gold; scrap",Product,"Gold bought back from a customer, valued on metal content alone.","No making charge is paid on buy-back and a deduction for melt loss may apply. Its own valuation path - never price it through the retail formula."
gold_note,حواله طلا,Havāle-ye Talā,Gold Note,"gold delivery note; deferred delivery receipt",Product,"A transferable claim on a quantity of gold held by a dealer, settled or delivered later.","A claim, not metal. Carries counterparty risk and must be modelled as a position against an issuer, never as inventory on hand."
market_quote,مظنه,Mazanneh,Market Quote,"benchmark rate; mesghal quote",Pricing,"The market's headline benchmark price: the price of one Mesghal of 17-karat melted gold, from which most other domestic gold prices are derived.","Quoted per Mesghal, not per gram. The 18k gram rate is derived from it. Treat as a rate, never as a product."
global_ounce,انس جهانی,Ons-e Jahāni,Global Ounce,"world spot; XAU/USD; spot ounce",Pricing,"The international spot price of one troy ounce of gold in USD.","1 troy ounce = 31.1035 g. Together with the USD rate it drives the domestic quote; it is an external input, refreshed on its own cadence."
usd_rate,نرخ دلار,Nerkh-e Dolār,USD Rate,"dollar rate; exchange rate",Pricing,"The USD/IRR rate the market prices gold against.","The second external input. Domestic price moves are attributable to either this or the global ounce - keep them separate so the cause of a move stays visible."
making_charge,اجرت,Ojrat,Making Charge,"wage; workmanship fee; labour charge",Pricing,"The fee charged for crafting a piece, quoted as a percentage of its metal value.","Set per piece by design and workshop, not fixed market-wide. Paid on sale, never refunded on buy-back. VAT applies to this component."
seller_profit,سود فروشنده,Sud-e Forushandeh,Seller's Margin,"dealer profit; markup",Pricing,"The dealer's margin, applied on top of metal value plus making charge.","Typically a percentage. VAT applies to this component."
vat,مالیات بر ارزش افزوده,Māliyāt bar Arzesh-e Afzudeh,VAT,"value-added tax",Pricing,"Value-added tax on a retail gold sale.","Under current Iranian law VAT is levied on the making charge and margin ONLY, not on the metal value. Encoding it as a flat percentage of the invoice total is a defect."
